time,x,y,z
0,28.7041,-16.9324,-7.30124e-09
0.02,28.7423,-16.4419,-7.30124e-09
0.04,28.7805,-15.9514,-7.30124e-09
0.06,28.8186,-15.4608,-1.49012e-08
0.08,28.8568,-14.9703,-2.22024e-08
0.1,28.895,-14.4798,-2.22024e-08
0.12,28.9331,-13.9893,-2.22024e-08
0.14,28.9713,-13.4988,-2.22024e-08
0.16,29.0095,-13.0083,-2.22024e-08
0.18,29.0476,-12.5177,-2.98023e-08
0.2,29.0858,-12.0272,-1.51998e-08
0.22,29.124,-11.5367,-5.97358e-10
0.24,29.1622,-11.0462,-5.97358e-10
0.26,29.2003,-10.5557,-5.97358e-10
0.28,29.2385,-10.0652,-5.97358e-10
0.3,29.2767,-9.57464,-5.97358e-10
0.32,29.3148,-9.08412,2.98023e-08
0.34,29.353,-8.5936,2.25011e-08
0.36,29.3912,-8.10309,2.25011e-08
0.38,29.4293,-7.61257,2.25011e-08
0.4,29.4675,-7.12205,2.25011e-08
0.42,29.5057,-6.63154,2.25011e-08
0.44,29.5439,-6.14102,1.49012e-08
0.46,29.582,-5.6505,7.59992e-09
0.48,29.6202,-5.15999,7.59992e-09
0.5,29.6584,-4.66947,7.59992e-09
0.52,29.6965,-4.17895,7.59992e-09
0.54,29.7347,-3.68843,7.59992e-09
0.56,29.7729,-3.19792,0
0.58,29.8111,-2.7074,0
0.6,29.8492,-2.21688,0
0.62,29.8874,-1.72637,0
0.64,29.9256,-1.23585,0
0.66,29.9637,-0.745331,0
0.68,30.0019,-0.254814,0
0.7,30.0401,0.235703,0
0.72,30.0782,0.72622,0
0.74,30.1164,1.21674,0
0.76,30.1546,1.70725,0
0.78,30.1928,2.19777,0
0.8,30.2309,2.68829,0
0.82,30.2691,3.17881,0
0.84,30.3073,3.66932,0
0.86,30.3454,4.15984,0
0.88,30.3836,4.65036,0
0.9,30.4218,5.14087,0
0.92,30.4599,5.63139,0
0.94,30.4981,6.12191,0
0.96,30.5363,6.61243,-1.46025e-08
0.98,30.5745,7.10294,-1.46025e-08
1,30.6126,7.59346,-1.46025e-08
1.02,30.6508,8.08398,-1.46025e-08
1.04,30.689,8.57449,-1.46025e-08
1.06,30.7271,9.06501,-1.46025e-08
1.08,30.7653,9.55553,-2.98023e-08
1.1,30.8035,10.046,-2.25011e-08
1.12,30.8416,10.5366,-2.25011e-08
1.14,30.8798,11.0271,-2.25011e-08
