time,x,y,z
0,188.533,69.1965,0
0.02,188.176,69.1909,0
0.04,187.818,69.1852,0
0.06,187.46,69.1796,0
0.08,187.103,69.174,0
0.1,186.745,69.1683,0
0.12,186.388,69.1627,0
0.14,186.03,69.157,0
0.16,185.673,69.1514,0
0.18,185.315,69.1457,0
0.2,184.957,69.1401,0
0.22,184.6,69.1345,0
0.24,184.242,69.1288,0
0.26,183.885,69.1232,0
0.28,183.527,69.1175,0
0.3,183.169,69.1119,0
0.32,182.812,69.1062,0
0.34,182.454,69.1006,0
0.36,182.097,69.095,0
0.38,181.739,69.0893,0
0.4,181.381,69.0837,0
0.42,181.024,69.078,0
0.44,180.666,69.0724,0
0.46,180.309,69.0668,0
0.48,179.951,69.0611,0
0.5,179.594,69.0555,0
0.52,179.236,69.0498,0
0.54,178.878,69.0442,0
0.56,178.521,69.0385,0
0.58,178.163,69.0329,0
0.6,177.806,69.0273,0
0.62,177.448,69.0216,0
0.64,177.09,69.016,0
0.66,176.733,69.0103,0
0.68,176.375,69.0047,0
0.7,176.018,68.999,0
0.72,175.66,68.9934,0
0.74,175.302,68.9878,0
0.76,174.945,68.9821,0
0.78,174.587,68.9765,0
0.8,174.23,68.9708,0
0.82,173.872,68.9652,0
0.84,173.515,68.9595,0
0.86,173.157,68.9539,0
0.88,172.799,68.9483,0
0.9,172.442,68.9426,0
0.92,172.084,68.937,0
0.94,171.727,68.9313,0
0.96,171.369,68.9257,0
0.98,171.011,68.9201,0
1,170.654,68.9144,0
1.02,170.296,68.9088,0
1.04,169.939,68.9031,0
1.06,169.581,68.8975,0
1.08,169.224,68.8918,0
1.1,168.866,68.8862,0
1.12,168.508,68.8806,0
1.14,168.151,68.8749,0
1.16,167.793,68.8693,0
1.18,167.436,68.8636,0
1.2,167.078,68.858,0
1.22,166.72,68.8523,0
1.24,166.363,68.8467,0
1.26,166.005,68.8411,0
1.28,165.648,68.8354,0
1.3,165.29,68.8298,1.46025e-08
1.32,164.932,68.8241,1.46025e-08
1.34,164.575,68.8185,1.46025e-08
1.36,164.217,68.8129,1.46025e-08
1.38,163.86,68.8072,1.46025e-08
1.4,163.502,68.8016,1.46025e-08
1.42,163.145,68.7959,1.46025e-08
1.44,162.787,68.7903,2.98023e-08
1.46,162.429,68.7846,2.98023e-08
1.48,162.072,68.779,2.25011e-08
1.5,161.714,68.7734,2.25011e-08
1.52,161.357,68.7677,2.25011e-08
1.54,160.999,68.7621,2.25011e-08
1.56,160.641,68.7564,2.25011e-08
1.58,160.284,68.7508,2.25011e-08
1.6,159.926,68.7451,2.25011e-08
1.62,159.569,68.7395,1.49012e-08
1.64,159.211,68.7339,7.59992e-09
1.66,158.853,68.7282,7.59992e-09
1.68,158.496,68.7226,7.59992e-09
1.7,158.138,68.7169,7.59992e-09
1.72,157.781,68.7113,7.59992e-09
1.74,157.423,68.7056,7.59992e-09
1.76,157.066,68.7,7.59992e-09
1.78,156.708,68.6944,7.59992e-09
1.8,156.35,68.6887,0
1.82,155.993,68.6831,0
1.84,155.635,68.6774,1.46025e-08
1.86,155.278,68.6718,1.46025e-08
1.88,154.92,68.6662,1.46025e-08
1.9,154.562,68.6605,1.46025e-08
1.92,154.205,68.6549,1.46025e-08
1.94,153.847,68.6492,1.46025e-08
1.96,153.49,68.6436,1.46025e-08
1.98,153.132,68.6379,2.22024e-08
2,152.774,68.6323,2.25011e-08
2.02,152.417,68.6267,2.25011e-08
2.04,152.059,68.621,2.25011e-08
2.06,151.702,68.6154,2.25011e-08
2.08,151.344,68.6097,2.25011e-08
2.1,150.987,68.6041,2.25011e-08
2.12,150.629,68.5984,2.25011e-08
2.14,150.271,68.5928,2.25011e-08
2.16,149.914,68.5872,1.49012e-08
2.18,149.556,68.5815,7.59992e-09
2.2,149.199,68.5759,7.59992e-09
2.22,148.841,68.5702,7.59992e-09
2.24,148.483,68.5646,7.59992e-09
2.26,148.126,68.5589,7.59992e-09
2.28,147.768,68.5533,7.59992e-09
2.3,147.411,68.5477,7.59992e-09
2.32,147.053,68.542,0
2.34,146.695,68.5364,-1.46025e-08
2.36,146.338,68.5307,1.46025e-08
2.38,145.98,68.5251,1.46025e-08
2.4,145.623,68.5195,1.46025e-08
2.42,145.265,68.5138,1.46025e-08
2.44,144.908,68.5082,1.46025e-08
2.46,144.55,68.5025,1.46025e-08
2.48,144.192,68.4969,1.46025e-08
2.5,143.835,68.4912,-5.97358e-10
2.52,143.477,68.4856,2.25011e-08
