time,x,y,z,yaw,pitch,roll
0,-50.7968,-10.6095,1.46025e-08,1.60354,2.25087e-14,1.09838e-08
0.1,-50.859,-8.71056,2.25011e-08,1.60354,-1.31364e-08,-5.49188e-09
0.2,-50.9212,-6.81158,7.59992e-09,1.60354,-1.31364e-08,-5.49187e-09
0.3,-50.9834,-4.9126,7.59992e-09,1.60354,-1.31364e-08,-5.49187e-09
0.4,-51.0456,-3.01362,-1.46025e-08,1.60354,-2.25087e-14,-1.09838e-08
0.5,-51.1078,-1.11464,-1.51998e-08,1.60354,2.62728e-08,1.09838e-08
0.6,-51.17,0.784345,-1.51998e-08,1.60354,2.62728e-08,1.09838e-08
0.7,-51.2322,2.68333,1.46025e-08,1.60354,2.62728e-08,1.09837e-08
0.8,-51.2944,4.58231,1.51998e-08,1.60354,-2.25087e-14,-1.09838e-08
0.9,-51.3566,6.48129,1.51998e-08,1.60354,-2.25087e-14,-1.09838e-08
1,-51.4188,8.38027,0,1.60354,-0,0
1.1,-51.481,10.2793,0,1.60354,-0,0
1.2,-51.5432,12.1782,0,1.60354,-0,0
1.3,-51.6054,14.0772,-1.46025e-08,1.60354,-2.25087e-14,-1.09838e-08
1.4,-51.6676,15.9762,-1.46025e-08,1.60354,-2.25087e-14,-1.09838e-08
1.5,-51.7298,17.8752,-1.51998e-08,1.60354,-2.62727e-08,1.09837e-08
1.6,-51.792,19.7742,1.46025e-08,1.60354,-2.62727e-08,1.09838e-08
1.7,-51.8542,21.6731,1.46025e-08,1.60354,-2.62727e-08,1.09838e-08
1.8,-51.9164,23.5721,1.51998e-08,1.60354,-2.25087e-14,-1.09838e-08
1.9,-51.9786,25.4711,0,1.60354,-0,0
2,-52.0408,27.3701,0,1.60354,-0,0
2.1,-52.103,29.2691,0,1.60354,-0,0
2.2,-52.1652,31.1681,0,1.60354,-0,0
2.3,-52.2274,33.067,0,1.60354,-0,0
2.4,-52.2896,34.966,0,1.60354,-0,0
2.5,-52.3518,36.865,0,1.60354,-0,0
2.6,-52.414,38.764,0,1.60354,-0,0
2.7,-52.4762,40.663,1.46025e-08,1.60354,2.25087e-14,1.09838e-08
2.8,-52.5384,42.5619,1.46025e-08,1.60354,2.25088e-14,1.09838e-08
2.9,-52.5927,44.219,2.98023e-08,1.60354,3.96184e-22,3.28399e-23
3,-52.5927,44.219,2.98023e-08,1.60354,3.96184e-22,3.28399e-23
3.1,-52.5927,44.219,2.98023e-08,1.60354,3.96184e-22,3.28399e-23
3.2,-52.5927,44.219,2.98023e-08,1.60354,3.96184e-22,3.28399e-23
